itemid,name,quality,tips1,tips2,icon,flash,model,dropModel,droptime,dropMinLev,dropMaxLev,itemtype,level,cslevel,cls,buffertype,bufferparam,uselv,interval,timeout,sell,price,dropvalue,onlyone,isdelete,bind,overlying,durable,career,sex,critRate,critical,holyAtt,pkatt,pkdef,phyAtt,phyAttMax,magicAtt,magicAttMax,taoAtt,taoAttMax,phyDef,phyDefMax,magicDef,magicDefMax,accurate,attackSpeed,dodge,hp,mp,neili,nelirec,hpper,heathRecover,magicRecover,poisonRecover,usecd,xlvalue,reinlv,effect,luck,efftype,bstype,cast,nbvalue,shenqi,autonopen,suitid,ispl,pureatk,puredef,diaoluo,flag,task,link,light,suitlevel,skilladd,fly,uniondonate,pubcd,pinfen,leixing,shuangji,boxid,groundname,log,timelimit,expadd,buffid,qhmax,zlmax,bagorder,showspecialbg,notice,xinfa,kangxing,kangxingshow,xllv,back
1,金币,1,绑定金币可用于强化、伏魔任务、升级法神、购买金币道具,挖矿、活动奖励,10001,0,0,11,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
3,元宝,5,元宝可以用于购买商城道具、寻宝、使用系统便捷功能,活动奖励、充值提取,10003,0,0,12003,120000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,7.5#7.5,,,货币,0,,1,,,,,,,999999999,,,,,,,
2,礼券,3,礼券可以用于购买商城道具<br>礼券每天可以在<p><font color='#53b436'>右上角“礼”活跃度</font>中完成活跃度大量领取,活动奖励、活跃度奖励,202122,0,22,202122,120000,0,0,2,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
4,经验值,5,,装备回收、塔防副本、伏魔任务,10004,0,0,10004,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
5,公会贡献值,1,,公会捐献,1310011,0,0,1310011,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
6,金币,1,金币可用于强化、伏魔任务、升级法神、购买金币道具、交易,活动奖励、每日祈祷,20001,0,0,32,120000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,0.015#0.015,,,货币,0,,1,,,,,,,999999999,,,,,,,
7,内力,1,,挂机、定时活动,10007,0,0,10007,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
8,回收积分,1,,,10008,0,0,10008,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
9,成就点,5,积累成就点可用来兑换勋章,完成成就,100003,0,0,100003,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
10,羽翼灵力,1,,,1310055,0,0,1310055,60000,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,0,,,0,0,,,,,,,,,,货币,0,,1,,,,,,,999999999,,,,,,,
