id,seasonId,step,unionId1,unionId2,unionName1,unionName2,serverId1,serverId2,serverName1,serverName2,oper1,oper2,type,result,startTime,threeTime,watcherCount,watcherCost,groupId,index,matchServerId,matchServerName,unionLongId1,unionLongId2,nbvalue1,nbvalue2,next
1,312,1,54,62,d,杀手,1,1,s1,s1,pptv,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,1,1,1,争霸赛服务器-1,377022464983046,377022464983054,2548,3357,1025
2,312,1,53,60,c,你们都得死,1,1,s1,s1,pptv,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,1,2,2,争霸赛服务器-2,377022464983045,377022464983052,2548,16134,1025
3,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,3,1,争霸赛服务器-1,0,0,0,0,1026
4,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,4,2,争霸赛服务器-2,0,0,0,0,1026
5,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,5,1,争霸赛服务器-1,0,0,0,0,1027
6,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,6,2,争霸赛服务器-2,0,0,0,0,1027
7,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,7,1,争霸赛服务器-1,0,0,0,0,1028
8,312,1,3,0,锋范,,1,0,不删档1_2,0,xy,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,8,2,争霸赛服务器-2,377022463672323,0,2719,0,1028
9,312,1,45,6,传说天下,斯柯达,1,1,s1,不删档1_2,顺网,xy,1,0,2016-3-15 13:15:00,,20,6#1000000,1,9,1,争霸赛服务器-1,377022464720910,377022463672326,28310,16885,1029
10,312,1,37,23,核桃仁,2312,1,1,s1,不删档1_2,顺网,xy,1,0,2016-3-15 13:15:00,,20,6#1000000,1,10,2,争霸赛服务器-2,377022464720902,377022463672343,13803,44403,1029
11,312,1,39,5,二聚一块,兰博基尼,1,1,s1,不删档1_2,顺网,xy,1,0,2016-3-15 13:15:00,,20,6#1000000,1,11,1,争霸赛服务器-1,377022464720904,377022463672325,46511,1298,1030
12,312,1,0,34,,布加迪,0,1,0,s1,,顺网,1,0,2016-3-15 13:15:00,,20,6#1000000,1,12,2,争霸赛服务器-2,0,377022464720899,0,11656,1030
13,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,13,1,争霸赛服务器-1,0,0,0,0,1031
14,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,1,14,2,争霸赛服务器-2,0,0,0,0,1031
15,312,1,2,56,福特,ff,1,1,不删档1_2,s1,xy,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,1,15,1,争霸赛服务器-1,377022463672322,377022464983048,46532,26161,1032
16,312,1,20,57,霸服2霸服2,g,1,1,不删档1_2,s1,xy,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,1,16,2,争霸赛服务器-2,377022463672340,377022464983049,4812,2549,1032
17,312,1,51,58,兰博基尼,最牛,1,1,s1,s1,pptv,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,2,1,1,争霸赛服务器-1,377022464983043,377022464983050,1657,5556,1033
18,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,2,2,争霸赛服务器-2,0,0,0,0,1033
19,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,3,1,争霸赛服务器-1,0,0,0,0,1034
20,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,4,2,争霸赛服务器-2,0,0,0,0,1034
21,312,1,10,0,·杀,,1,0,不删档1_2,0,xy,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,5,1,争霸赛服务器-1,377022463672330,0,42404,0,1035
22,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,6,2,争霸赛服务器-2,0,0,0,0,1035
23,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,7,1,争霸赛服务器-1,0,0,0,0,1036
24,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,8,2,争霸赛服务器-2,0,0,0,0,1036
25,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,9,1,争霸赛服务器-1,0,0,0,0,1037
26,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,10,2,争霸赛服务器-2,0,0,0,0,1037
27,312,1,52,0,b,,1,0,s1,0,pptv,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,11,1,争霸赛服务器-1,377022464983044,0,6895,0,1038
28,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,12,2,争霸赛服务器-2,0,0,0,0,1038
29,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,13,1,争霸赛服务器-1,0,0,0,0,1039
30,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,14,2,争霸赛服务器-2,0,0,0,0,1039
31,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,2,15,1,争霸赛服务器-1,0,0,0,0,1040
32,312,1,0,59,,炮灰4号,0,1,0,s1,,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,2,16,2,争霸赛服务器-2,0,377022464983051,0,3756,1040
33,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,3,1,1,争霸赛服务器-1,0,0,0,0,1041
34,312,1,0,61,,我爱大家,0,1,0,s1,,pptv,1,0,2016-3-15 13:15:00,,20,6#1000000,3,2,2,争霸赛服务器-2,0,377022464983053,0,4217,1041
35,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,3,3,1,争霸赛服务器-1,0,0,0,0,1042
36,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,3,4,2,争霸赛服务器-2,0,0,0,0,1042
37,312,1,0,0,,,0,0,0,0,,,1,0,2016-3-15 13:15:00,,20,6#1000000,3,5,1,争霸赛服务器-1,0,0,0,0,1043
